Start Time,End Time,Subtitle
00:07:23:07,00:07:25:12,Or were you counting on this?
00:07:25:17,00:07:26:22,Death.
00:07:27:02,00:07:28:24,CIA issue.
00:07:36:07,00:07:39:09,"Spare yourself, once they clear."
00:07:53:18,00:07:55:12,Almost 7:00.
00:07:55:22,00:07:57:03,Uh-oh.
00:08:02:08,00:08:03:22,It's running fast.
00:08:07:21,00:08:10:05,We have to put it back one hour.
00:08:29:18,00:08:31:04,Get it out!
00:08:55:01,00:08:57:06,Welcome to the afterlife.
00:08:57:22,00:09:00:05,You've been in a medically-induced coma
00:09:00:09,00:09:03:22,while we got you out of Ukraine and rebuilt your mouth.
00:09:04:02,00:09:08:03,The suicide pills are fake.
00:09:09:00,00:09:10:07,Why?
00:09:10:11,00:09:11:14,A test.
00:09:12:02,00:09:13:06,A test?
00:09:16:14,00:09:18:11,They pulled my teeth out.
00:09:20:00,00:09:22:05,Did my team get clear?
00:09:23:01,00:09:24:06,No.
00:09:24:16,00:09:26:13,"Private Russians, we think."
00:09:27:14,00:09:29:11,Somebody talked.
00:09:30:13,00:09:31:15,Not you.
00:09:32:07,00:09:35:05,You chose to die instead of giving up your colleagues.
00:09:44:06,00:09:47:02,We all believe we'd run into the burning building.
00:09:48:06,00:09:52:07,"But until we feel that heat, we can never know."
00:09:52:11,00:09:53:16,You do.
00:09:59:18,00:10:01:12,I resign.
00:10:01:16,00:10:04:01,You don't work for us. You're dead.
00:10:05:08,00:10:08:02,Your duty transcends national interests.
00:10:08:07,00:10:10:00,This is about survival.
00:10:12:10,00:10:13:12,Whose?
00:10:16:03,00:10:17:11,Everyone's.
00:10:20:01,00:10:22:04,"There's a cold war, cold as ice."
00:10:23:10,00:10:26:22,To even know its true nature is to lose.
00:10:27:02,00:10:28:13,This is knowledge divided.
00:10:28:17,00:10:32:08,All I have for you is a gesture
00:10:32:12,00:10:34:16,in combination with a word.
00:10:34:20,00:10:35:23,"""Tenet."""
00:10:37:19,00:10:39:02,Use it carefully.
00:10:40:20,00:10:43:21,"It'll open the right doors, but some of the wrong ones, too."
00:10:44:01,00:10:45:23,That's all they've told you?
00:10:47:06,00:10:48:16,That test you passed?
00:10:50:12,00:10:51:14,Not everybody does.
00:13:04:19,00:13:09:04,"With a high-vis vest and a clipboard, you can get almost anywhere."
00:13:09:08,00:13:10:23,Almost.
00:13:11:21,00:13:13:02,An obscure tenet.
00:13:22:00,00:13:22:20,No small talk.
00:13:23:00,00:13:25:03,Nothing that might reveal who we are or what we do.
00:13:25:19,00:13:27:20,I thought I was here to find out what we do.
00:13:28:14,00:13:31:02,"You're not here for ""what,"" you're here for ""how."""
00:13:31:06,00:13:34:09,"""What"" is your department and not my business."
00:13:34:14,00:13:36:04,"Well, to do what I do..."
00:13:36:23,00:13:39:05,I need some idea of the threat we face.
00:13:42:01,00:13:45:13,"As I understand it, we're trying to prevent world war lll."
00:13:45:17,00:13:47:09,Nuclear holocaust?
00:13:47:22,00:13:48:23,No.
00:13:50:12,00:13:52:01,Something worse.
00:14:01:09,00:14:02:15,Aim it and pull the trigger.
00:14:04:17,00:14:05:17,It's empty.
00:14:05:21,00:14:06:21,Aim it.
00:14:12:18,00:14:13:22,Check the magazine.
00:14:18:08,00:14:19:13,How?
00:14:25:05,00:14:28:21,"One of these bullets is like us, traveling forwards through time."
00:14:29:11,00:14:31:18,The other one's going backwards.
00:14:32:05,00:14:34:10,Can you tell which is which?
00:14:36:07,00:14:37:19,How about now?
00:14:38:10,00:14:41:00,It's inverted. Its entropy runs backwards.
00:14:41:04,00:14:44:04,"So, to our eyes, its movement is reversed."
00:14:44:08,00:14:47:11,We think it's a type of inverse radiation triggered by nuclear fission.
00:14:47:15,00:14:48:15,You didn't make it?
00:14:48:18,00:14:49:23,"No, we don't know how yet."
00:14:50:03,00:14:51:11,"So, where'd it come from?"
00:14:51:15,00:14:53:18,Someone's manufacturing them in the future.
00:14:53:22,00:14:55:20,They're streaming back at us.
00:14:56:00,00:14:57:04,Try it.
00:15:04:11,00:15:06:04,You have to have dropped it.
00:15:18:06,00:15:20:04,How can it move before I touch it?
00:15:20:08,00:15:22:18,"From your point of view, you caught it."
00:15:22:22,00:15:25:02,"But from the bullet's point of view, you dropped it."
00:15:25:06,00:15:26:24,But cause comes before effect.
00:15:27:04,00:15:29:13,"No, that's just the way we see time."
00:15:30:06,00:15:31:21,"Well, what about free will?"
00:15:32:01,00:15:34:16,That bullet wouldn't have moved if you hadn't put your hand there.
00:15:34:17,00:15:37:14,"Either way we run the tape, you made it happen."
00:15:38:21,00:15:40:14,Don't try to understand it.
00:15:41:22,00:15:43:03,Feel it.
00:15:53:15,00:15:54:18,Instinct.
00:15:56:12,00:15:57:15,Got it.
00:16:02:11,00:16:04:11,Why does it feel so strange?
00:16:05:15,00:16:07:19,"You're not shooting the bullet,"
00:16:07:23,00:16:09:08,you're catching it.
00:16:11:00,00:16:12:13,Whoa.
00:16:15:05,00:16:17:02,I've seen this type of ammunition before.
00:16:17:06,00:16:18:06,In the field?
00:16:18:08,00:16:19:12,I was almost hit.
00:16:19:16,00:16:21:08,Then you were exceedingly lucky.
00:16:22:05,00:16:24:22,An inverted bullet passing through your body would be devastating.
00:16:25:03,00:16:26:08,Not pretty.
00:16:28:01,00:16:29:03,These look like today's.
00:16:29:07,00:16:31:13,They may have been made today and inverted years from now.
00:16:31:16,00:16:32:16,Where did you get them?
00:16:32:21,00:16:36:15,"Came with the wall. I was assigned it, like all the material I'm studying here."
00:16:36:19,00:16:38:08,Do you have an analysis on the metals?
00:16:38:12,00:16:40:06,Sure. Why?
00:16:40:10,00:16:42:21,The mixture of alloys can tell me where they might have been made.
00:16:42:22,00:16:44:07,Look...
00:16:45:17,00:16:47:07,I'm not seeing armageddon here.
00:16:50:00,00:16:52:12,"The bullet may not seem like much, but it's a simple machine."
00:16:52:16,00:16:55:12,"Lead bullet, brass casing, gunpowder."
00:16:56:10,00:16:57:10,"If they can invert that,"
00:16:57:12,00:16:59:19,I see no reason they couldn't invert pretty much anything.
00:16:59:23,00:17:03:00,Even a nuclear weapon can only affect our future.
00:17:03:05,00:17:06:17,An inverted weapon might be able to affect our past as well.
00:17:10:13,00:17:14:08,"Now that we know what to look for, we're finding more and more inverted material."
00:17:14:24,00:17:17:19,Remnants of complex objects.
00:17:21:05,00:17:22:14,What do you think we're seeing?
00:17:24:16,00:17:27:01,The detritus of a coming war.
00:17:46:06,00:17:48:05,#NAME?
00:17:48:06,00:17:50:11,No friends at dusk. I was told you left the building.
00:17:50:16,00:17:52:00,Even the dead need allies.
00:17:52:05,00:17:53:09,Specifically?
00:17:53:23,00:17:56:22,I need an assist in Mumbai. I need to get to Sanjay Singh.
00:17:57:02,00:17:58:02,Singh?
00:17:58:04,00:17:59:23,He never leaves his house. And his house is...
00:18:00:13,00:18:01:13,#NAME?
00:18:01:17,00:18:03:03,I'm looking right at it.
00:18:03:07,00:18:04:22,I'll see who's on deck.
00:18:05:02,00:18:07:02,Bombay yacht club in two hours.
00:18:19:10,00:18:20:18,It seems you need an introduction
00:18:20:19,00:18:23:23,to a prominent Mumbai local on short notice.
00:18:25:05,00:18:26:05,I'm Neil.
00:18:26:10,00:18:28:09,I need an audience with Sanjay Singh.
00:18:30:20,00:18:31:20,That's not possible.
00:18:32:01,00:18:34:09,Ten minutes tops.
00:18:35:01,00:18:36:15,Time isn't the problem.
00:18:37:16,00:18:39:19,It's getting out alive that's the problem.
00:18:42:16,00:18:45:24,Would you take a child hostage? A woman?
00:18:46:04,00:18:47:08,If I had to.
00:18:47:12,00:18:49:02,I'm not looking to make much noise here.
00:18:49:15,00:18:50:11,Yes?
00:18:50:15,00:18:53:12,Vodka tonic. And a diet coke.
00:18:55:21,00:18:56:23,What?
00:18:58:01,00:18:59:03,You never drink on the job.
00:18:59:05,00:19:00:18,You're well-informed.
00:19:00:22,00:19:04:11,"Well, pays to be in our profession."
00:19:04:15,00:19:06:13,"Well, I prefer soda water."
00:19:09:01,00:19:10:10,"No, you don't."
00:19:11:13,00:19:13:09,How's your parachuting?
00:19:13:14,00:19:15:10,I broke an ankle during basic training.
00:19:15:14,00:19:18:09,Singh's house isn't tall enough to parachute off of.
00:19:18:19,00:19:19:21,It's bungee-jumpable.
00:19:20:01,00:19:22:13,"I don't think ""bungee-jumpable” is a word."
00:19:22:17,00:19:25:12,"It may not be a word, but it may be our only way out of that place."
00:19:26:21,00:19:28:17,"Or into it, for that matter."
00:20:08:08,00:20:10:22,I know you're tired. I'm also very tired.
00:21:13:12,00:21:14:22,Stay back.
00:21:15:03,00:21:18:11,I was almost taken out by a very unusual type of ammunition in Ukraine.
00:21:18:15,00:21:21:11,I want to know who supplied it.
00:21:21:16,00:21:23:06,My name is Sanjay.
00:21:23:11,00:21:24:14,And you are?
00:21:25:16,00:21:27:11,No chitchat?
00:21:27:14,00:21:30:21,"There's no one at the other end. No one who's gonna help you, anyway."
00:21:32:20,00:21:34:09,Don't let it get cold.
00:21:36:11,00:21:38:09,Why should I know who supplied it?
00:21:38:13,00:21:41:11,Combination of metals is unique to India.
00:21:41:15,00:21:42:19,"If it's from India, it's from you."
00:21:42:19,00:21:44:11,#NAME?
00:21:44:15,00:21:46:01,"Deduction, then."
00:21:46:05,00:21:47:19,"Look, my friend..."
00:21:47:23,00:21:50:20,Guns are never conducive to a productive negotiation.
00:21:51:00,00:21:53:12,I'm not the man they send to negotiate.
00:21:54:21,00:21:56:06,Or the man they send to make deals.
00:21:56:21,00:21:59:18,But I am the man people talk to.
00:22:01:15,00:22:02:20,I can't.
00:22:03:03,00:22:04:05,I can't tell you.
00:22:04:09,00:22:05:10,"You're an arms dealer, friend."
00:22:05:11,00:22:07:20,This may be the easiest trigger I've ever had to pull.
00:22:08:18,00:22:10:11,To say anything about a client
00:22:10:15,00:22:12:20,would violate the tenets he lives by.
00:22:13:23,00:22:16:16,"If tenets are important to you, then you can tell me."
00:22:17:13,00:22:18:13,Everything.
00:22:18:20,00:22:21:01,Not while you have a gun to my husband's head.
00:22:22:06,00:22:25:04,"Sanjay, make a drink for our guest, please."
00:22:25:19,00:22:26:19,Cheers.
00:22:27:09,00:22:29:02,Priya. Hmm.
00:22:29:13,00:22:31:04,This is your operation?
00:22:31:18,00:22:34:19,A masculine front in a man's world has its uses.
00:22:34:23,00:22:36:21,The dealer you're looking for is andrei sator.
00:22:37:08,00:22:38:10,The Russian oligarch.
00:22:38:15,00:22:40:05,#NAME?
00:22:40:16,00:22:42:18,Made his billions in gas.
00:22:42:22,00:22:46:05,Moved to London. Said to be on the outs with Moscow.
00:22:46:09,00:22:48:01,Very good.
00:22:48:05,00:22:50:19,Except the gas he made his billions from was actually plutonium.
00:22:51:11,00:22:55:04,None of which explains how or why you sold him inverted munitions.
00:22:55:08,00:22:57:16,"When I sold him the rounds, they were perfectly ordinary."
00:22:57:20,00:22:59:07,So how did he get them inverted?
00:23:00:09,00:23:03:02,We believe he's functioning as some sort of a broker.
00:23:03:06,00:23:05:06,Between our time and the future.
00:23:06:18,00:23:08:09,He can communicate with the future?
00:23:08:13,00:23:10:01,"We all do, don't we?"
00:23:10:05,00:23:12:03,"E-mails, credit cards, texts."
00:23:12:07,00:23:15:05,Anything that goes into the record speaks directly to the future.
00:23:16:03,00:23:19:11,"The question is, can the future speak back?"
00:23:20:05,00:23:21:16,And I'm supposed to find out?
00:23:22:16,00:23:25:23,To get anywhere near sator would take a fresh-faced protagonist.
00:23:26:18,00:23:28:23,And you are fresh as a Daisy.
00:23:29:10,00:23:30:10,Get close.
00:23:30:14,00:23:32:23,Find out what he's receiving and how.
00:23:33:03,00:23:34:24,Is it safe to involve British intelligence?
00:23:35:04,00:23:37:17,I have a contact who's out of sator's reach.
00:23:43:23,00:23:45:19,You must've had a plan for getting out.
00:23:46:17,00:23:48:12,Not one I love.
00:24:11:17,00:24:13:02,"May I help you, sir?"
00:24:13:15,00:24:14:21,I'm Mr. Crosby's lunch.
00:24:15:01,00:24:17:19,I presume you mean sir Michael Crosby's lunch.
00:24:17:23,00:24:19:01,Presume away.
00:24:19:05,00:24:20:16,If you'll follow me.
00:24:25:09,00:24:27:14,Started without you. Hope you don't mind.
00:24:28:09,00:24:29:14,I'll catch up.
00:24:30:14,00:24:31:16,"Same for me, please."
00:24:31:20,00:24:33:01,I'll send the waiter.
00:24:33:01,00:24:34:16,"No, just pass on the order."
00:24:35:15,00:24:38:08,I gather you have an interest in a certain Russian national.
00:24:38:12,00:24:41:03,Anglo-Russian. So I have to watch my step.
00:24:41:13,00:24:44:03,Indeed. He's tapped into the intelligence services.
00:24:44:08,00:24:46:16,I've warned them he's feeding them rubbish...
00:24:47:12,00:24:48:17,But they don't seem to care.
00:24:48:22,00:24:49:24,Tell me about him.
00:24:50:04,00:24:53:16,I assume you're familiar with the Soviet-era secret cities.
00:24:54:11,00:24:58:06,"Closed cities, not shown on maps. Built around sensitive industries."
00:24:58:10,00:25:01:12,Most of them have been opened up and renamed as regular towns.
00:25:01:16,00:25:03:08,Not the one sator grew up in.
00:25:03:12,00:25:04:14,Stalsk-12.
00:25:05:02,00:25:07:22,"In the ""70s, it had a population of about 200,000."
00:25:08:02,00:25:09:03,Thought to be abandoned.
00:25:09:08,00:25:10:04,Abandoned?
00:25:10:08,00:25:14:17,Some kind of accident. After which it was used for underground tests.
00:25:14:21,00:25:17:11,"Two weeks ago, same day as the Kiev opera siege,"
00:25:17:15,00:25:20:16,"we spotted a detonation in northern Siberia,"
00:25:20:20,00:25:22:21,just where stalsk-12 was.
00:25:23:09,00:25:26:12,Sator emerged from this blank spot on the map
00:25:26:18,00:25:28:17,with ambition...
00:25:28:21,00:25:31:17,And enough money to buy his way into the British establishment.
00:25:31:22,00:25:32:18,Through his wife?
00:25:32:22,00:25:35:23,Katherine barton. Oldest niece of sir Frederick barton.
00:25:36:03,00:25:38:07,She works at shipley's. Met sator at an auction.
00:25:38:11,00:25:39:11,A happy marriage?
00:25:39:12,00:25:40:23,Practically estranged.
00:25:41:17,00:25:42:20,"Well, how do I get to sator?"
00:25:42:22,00:25:44:06,"Well, through her, of course."
00:25:44:10,00:25:46:22,You may have an inflated idea of my powers of seduction.
00:25:47:14,00:25:48:14,Hardly.
00:25:49:16,00:25:51:16,We have an Ace in the hole.
00:25:54:13,00:25:56:23,You're carrying a goya in a harrods bag.
00:25:57:03,00:25:59:02,It's a fake by a spaniard named arepo.
00:26:00:00,00:26:02:19,One of two we've confiscated from an embezzler in Bern.
00:26:03:04,00:26:04:10,What happened to the other one?
00:26:04:14,00:26:07:11,It turned up at shipley's. Authenticated by Katherine barton.
00:26:07:16,00:26:08:16,Put on auction.
00:26:09:04,00:26:10:15,And who do you think bought it?
00:26:10:20,00:26:11:20,Her husband?
00:26:11:22,00:26:12:23,Mmm-hmm.
00:26:14:11,00:26:16:04,Does she know it's a forgery?
00:26:16:08,00:26:17:13,"Oh, it's hard to say."
00:26:17:17,00:26:21:14,Rumor has it that she and arepo were close.
00:26:21:18,00:26:22:21,Uh-huh.
00:26:23:24,00:26:26:02,"Look, no offense,"
00:26:26:06,00:26:29:16,"but in this world, when someone is claiming to be a billionaire..."
00:26:31:06,00:26:33:09,Brooks brothers won't cut it.
00:26:33:13,00:26:35:02,I'm assuming I'm on a budget.
00:26:35:06,00:26:37:16,"Save the world, then we'll balance the books."
00:26:38:13,00:26:40:03,Can I recommend a tailor?
00:26:40:07,00:26:41:10,I'll manage.
00:26:41:14,00:26:43:20,"You British don't have a monopoly on snobbery, you know."
00:26:44:00,00:26:45:06,"Well, not a monopoly."
00:26:45:10,00:26:47:09,More of a controlling interest.
00:26:48:20,00:26:50:08,Could you box that up for me?
00:26:50:13,00:26:51:13,Certainly not.
00:26:52:22,00:26:54:18,"Goodbye, sir Michael."
00:27:27:11,00:27:28:19,"How can I help, sir?"
00:27:32:06,00:27:35:04,"Sorry, I wasn't notified of any appointments, Mr..."
00:27:35:08,00:27:36:08,Goya.
00:27:37:14,00:27:38:12,Mr. goya.
00:27:38:14,00:27:41:07,No. I'm told you're the person to see about goya.
00:27:43:24,00:27:45:07,That's extraordinary.
00:27:50:12,00:27:51:21,What's it worth?
00:27:53:04,00:27:54:19,Let's not get ahead of ourselves.
00:27:56:09,00:27:59:01,Lots of work to do before any kind of valuation.
00:28:00:14,00:28:04:06,"Provenance, microscopic examination, x-rays."
00:28:04:10,00:28:06:12,But what does your heart tell you?
00:28:10:19,00:28:12:17,"Sir, where did you say you acquired this drawing?"
00:28:13:15,00:28:14:17,Tomas arepo.
00:28:18:15,00:28:21:17,I bought my goya for cents on a dollar from an irate Swiss banker.
00:28:21:21,00:28:24:16,"Traced it back to arepo, then realized I scored a bargain"
00:28:24:20,00:28:27:13,when he told me who paid top dollar for another one of his pictures.
00:28:27:17,00:28:29:21,- Your husband. - Where's your bargain?
00:28:30:01,00:28:31:06,Your drawing's an obvious fake.
00:28:31:07,00:28:32:21,My drawing's a very good fake.
00:28:33:01,00:28:34:11,You know that better than anyone.
00:28:34:15,00:28:35:21,The information's the bargain.
00:28:37:16,00:28:40:02,The information that I helped defraud my own husband?
00:28:40:06,00:28:43:06,"He and I are in related businesses, but he's a very hard man to meet."
00:28:43:10,00:28:44:21,If you and I were to make an arrangement...
00:28:44:21,00:28:46:04,Arrangement?
00:28:46:08,00:28:47:16,You mean blackmail.
00:28:47:20,00:28:49:03,Don't be afraid of the word.
00:28:49:07,00:28:51:07,My husband isn't.
00:28:51:12,00:28:53:03,I'm sorry to tell you he got there first.
00:28:53:08,00:28:55:05,He knows? And he's never done anything about it?
00:28:55:09,00:28:56:11,Why would he?
00:28:56:15,00:28:58:02,He paid $9 million for it.
00:28:58:07,00:29:00:13,Barely cover the cost of the holiday he just forced us on.
00:29:00:16,00:29:02:03,"Where'd you go, Mars?"
00:29:03:11,00:29:06:03,"Vietnam, on our yacht. His yacht."
00:29:07:05,00:29:09:20,"You've got the suit. The shoes, the watch."
00:29:10:18,00:29:12:08,Think you're a little out of your depth.
00:29:13:12,00:29:16:16,"People who've amassed fortunes, like your husband's,"
00:29:16:20,00:29:20:10,generally aren't okay with being cheated out of any of it.
00:29:25:22,00:29:28:06,The drawing is his hold over me.
00:29:32:10,00:29:37:10,He threatened me with police. Prison. The works.
00:29:39:15,00:29:41:11,He controls me.
00:29:41:16,00:29:44:10,My contact with my son. Everything.
00:29:44:14,00:29:47:19,"Leaving would never have been easy, but now it's impossible."
00:29:49:02,00:29:51:02,You can't fight.
00:29:51:18,00:29:53:18,Just beg.
00:29:56:00,00:29:57:15,"In Vietnam, I tried to love him again."
00:29:58:06,00:30:01:10,"Thought if there was love there, he might give me my son back."
00:30:01:14,00:30:05:16,"We sat on that bloody boat watching the sunsets,"
00:30:05:21,00:30:08:02,imitating some earlier time in our lives.
00:30:08:06,00:30:10:10,"He seemed happy, so I asked him."
00:30:11:07,00:30:13:06,And he made me an offer.
00:30:13:10,00:30:16:00,He'd let me go if I agreed never to see my son again.
00:30:19:22,00:30:22:24,I expressed myself. I took Max ashore.
00:30:23:04,00:30:25:04,"He called us, contrite."
00:30:25:22,00:30:27:01,"And when we got back,"
00:30:27:05,00:30:28:22,"I glimpsed some other woman diving off the boat,"
00:30:28:23,00:30:30:09,and he'd vanished.
00:30:33:12,00:30:35:07,I never felt such envy.
00:30:35:11,00:30:36:18,You don't seem the jealous type.
00:30:36:22,00:30:38:10,Of her freedom.
00:30:42:01,00:30:44:19,You know how I dream of just diving off that boat?
00:30:44:23,00:30:46:06,But you share a son.
00:30:47:02,00:30:48:20,That's my life now.
00:30:49:17,00:30:51:12,Did you know the drawing was a fake?
00:30:51:14,00:30:52:14,No.
00:30:52:15,00:30:55:03,"Tomas and I became close, maybe too close."
00:30:55:07,00:30:56:07,I failed.
00:30:56:12,00:30:59:02,"Andrei can't conceive of failure, only betrayal."
00:30:59:07,00:31:00:22,But I didn't betray my husband.
00:31:01:03,00:31:03:12,"Retrospect, maybe I missed my chance."
00:31:03:17,00:31:05:09,And he let arepo walk free.
00:31:05:13,00:31:07:12,"If you'd actually met arepo as you claimed,"
00:31:07:16,00:31:10:04,you'd understand he no longer walks anywhere.
00:31:10:08,00:31:11:11,We spoke on the phone.
00:31:11:15,00:31:13:07,He can't do that either.
00:31:13:22,00:31:15:17,- Where's the drawing? - Why?
00:31:15:21,00:31:17:09,Get me an introduction.
00:31:17:13,00:31:19:06,I'll take the drawing out of the equation.
00:31:19:10,00:31:21:16,"No picture, no prosecution, no more hold over you."
00:31:22:17,00:31:24:16,I might just be your second chance.
00:31:24:20,00:31:26:14,"No, I don't need redemption."
00:31:26:18,00:31:28:02,At betrayal.
00:31:34:04,00:31:35:05,Friends of your husband's?
00:31:36:10,00:31:37:20,You knew this was going to happen?
00:31:38:01,00:31:40:05,"Don't worry, they won't kill you."
00:31:40:10,00:31:43:09,Andrei dislikes tangling with local law enforcement on that level.
00:31:43:14,00:31:45:16,You must've really not liked the look of me.
00:31:45:21,00:31:46:22,The look of you's fine.
00:31:47:02,00:31:50:09,It's best to get to the nasty part before I care one way or the other.
00:31:51:06,00:31:52:18,There's a number in your left coat pocket.
00:31:52:19,00:31:54:02,Don't call from home.
00:31:55:19,00:31:57:10,You won't be taking my call.
00:31:59:09,00:32:01:05,I might surprise you.
00:32:32:03,00:32:34:03,I ordered my hot sauce an hour ago.
00:32:37:07,00:32:38:13,Can we get going?
00:32:52:07,00:32:53:09,Please?
00:32:54:02,00:32:55:08,He wants you to see.
00:33:21:12,00:33:23:17,And he gets what he wants.
00:33:30:06,00:33:32:06,"Not always, apparently."
00:33:38:13,00:33:40:02,Anna says we're going to Pompeii
00:33:40:04,00:33:41:00,and see lava.
00:33:41:04,00:33:43:12,We will. We'll go together.
00:33:43:16,00:33:45:07,"I'll be there, too!"
00:34:05:04,00:34:06:15,Told you I'd surprise you.
00:34:08:08,00:34:09:08,He's a cute kid.
00:34:09:13,00:34:10:13,He's everything.
00:34:13:00,00:34:14:15,Where's the drawing?
00:34:14:19,00:34:16:10,Oslo. At the airport.
00:34:16:19,00:34:17:19,The airport?
00:34:18:09,00:34:19:18,Do you know what a freeport is?
00:34:21:01,00:34:23:07,A storage facility for art that was acquired...
00:34:23:07,00:34:24:14,But not yet taxed.
00:34:25:13,00:34:27:06,We started a network
00:34:27:22,00:34:31:04,"rotas, this construction company, built them. I brought in the clients."
00:34:31:09,00:34:33:05,The facilities are tax havens.
00:34:33:08,00:34:35:23,"The clients can view their investments without importing them,"
00:34:35:24,00:34:37:24,so they avoid paying tax.
00:34:38:10,00:34:40:19,It's sorta like a transit lounge for art?
00:34:40:23,00:34:42:02,"Art, antiquities."
00:34:42:06,00:34:44:09,#NAME?
00:34:44:12,00:34:46:03,Anything legal.
00:34:46:07,00:34:48:01,But it's not unlike the Swiss banking system.
00:34:48:08,00:34:49:13,Opaque.
00:34:51:08,00:34:54:19,"As I'm sure you are aware, most freeports are just warehouses."
00:34:54:23,00:34:57:15,But here we ensure that you can actually enjoy...
00:34:57:19,00:35:00:04,Rotas has assets in the Oslo freeport. I'm guessing it's there.
00:35:00:04,00:35:02:04,And this way to the vaults!
00:35:02:08,00:35:04:02,#NAME?
00:35:04:06,00:35:06:10,"We make trips there four, five times a year."
00:35:06:14,00:35:08:05,To view art? And whatever it is he does.
00:35:09:06,00:35:11:05,Turns out art's of no importance to andrei.
00:35:11:15,00:35:13:04,But the freeports are.
00:35:14:20,00:35:16:22,The structure of the vaults is based on the Pentagon.
00:35:17:03,00:35:19:20,Each vault a separate structure within the others.
00:35:19:24,00:35:22:16,Damage to one structure won't compromise the others.
00:35:34:04,00:35:38:08,"Some of our clients opt for biometric access, straight in..."
00:35:39:20,00:35:41:07,Off the tarmac.
00:35:41:11,00:35:42:13,From the terminal?
00:35:43:14,00:35:45:11,From their private planes.
00:35:45:15,00:35:46:16,Of course.
00:35:47:19,00:35:50:10,Our logistics department ships to and from
00:35:50:13,00:35:51:18,any other freeport in the world
00:35:51:19,00:35:53:07,without customs inspection.
00:35:53:22,00:35:55:15,What are you hoping to find in there?
00:35:55:19,00:35:56:21,You really wanna know?
00:35:56:23,00:35:58:18,I'm not sure.
00:35:58:22,00:36:00:20,Bring some lead-lined gloves.
00:36:01:05,00:36:02:05,Jesus.
00:36:02:19,00:36:03:23,It's nuclear.
00:36:04:03,00:36:06:03,"When you're on the tour,"
00:36:06:07,00:36:08:06,pay attention to the fire precautions.
00:36:09:21,00:36:11:00,Documents are vulnerable to...
00:36:11:01,00:36:12:09,Fire? Absolutely!
00:36:12:13,00:36:14:22,"No, I was going to say water damage from the sprinkler systems."
00:36:14:22,00:36:16:23,We don't use sprinklers.
00:36:17:03,00:36:19:18,"The facility is flooded with halide gas,"
00:36:19:22,00:36:21:21,displacing all the air within seconds.
00:36:23:05,00:36:24:05,Can you show me?
00:36:24:09,00:36:26:11,"If I did, we'd suffocate."
00:36:27:16,00:36:28:20,What about the staff?
00:36:29:00,00:36:30:13,"Halide only fills the vaults,"
00:36:30:16,00:36:32:09,"they just have to get into either corridor,"
00:36:32:13,00:36:34:10,and there is a ten-second warning.
00:36:34:15,00:36:36:03,At least you give them ten seconds.
00:36:36:06,00:36:41:07,"Well, sir, our clients use us because we have no priorities"
00:36:41:11,00:36:42:18,above their property.
00:36:43:03,00:36:43:23,Blimey.
00:36:44:01,00:36:45:13,All doors are fireproof.
00:36:45:17,00:36:48:11,"Hydraulic closers, simple key and electronic triggers."
00:36:48:15,00:36:50:08,Surprisingly easy once there's a lockdown.
00:36:50:12,00:36:51:19,Why a lockdown?
00:36:51:23,00:36:54:17,"Power switches to fail-safes, sealing the outer doors,"
00:36:54:21,00:36:57:11,but inner doors revert to factory settings.
